ID,Parameter_ID,Name,Description,Number
1,1,A,feature is pervasive or obligatory,1
2,1,B,feature is neither pervasive nor extremely rare,2
3,1,C,"feature exists, but is extremely rare",3
4,1,D,attested absence of feature,4
5,1,X,feature is not applicable (given the structural make-up of the variety/P/C),5
6,1,?,no information on feature is available,6
7,2,A,feature is pervasive or obligatory,1
8,2,B,feature is neither pervasive nor extremely rare,2
9,2,C,"feature exists, but is extremely rare",3
10,2,D,attested absence of feature,4
11,2,X,feature is not applicable (given the structural make-up of the variety/P/C),5
12,2,?,no information on feature is available,6
13,3,A,feature is pervasive or obligatory,1
14,3,B,feature is neither pervasive nor extremely rare,2
15,3,C,"feature exists, but is extremely rare",3
16,3,D,attested absence of feature,4
17,3,X,feature is not applicable (given the structural make-up of the variety/P/C),5
18,3,?,no information on feature is available,6
19,4,A,feature is pervasive or obligatory,1
20,4,B,feature is neither pervasive nor extremely rare,2
21,4,C,"feature exists, but is extremely rare",3
22,4,D,attested absence of feature,4
23,4,X,feature is not applicable (given the structural make-up of the variety/P/C),5
24,4,?,no information on feature is available,6
25,5,A,feature is pervasive or obligatory,1
26,5,B,feature is neither pervasive nor extremely rare,2
27,5,C,"feature exists, but is extremely rare",3
28,5,D,attested absence of feature,4
29,5,X,feature is not applicable (given the structural make-up of the variety/P/C),5
30,5,?,no information on feature is available,6
31,6,A,feature is pervasive or obligatory,1
32,6,B,feature is neither pervasive nor extremely rare,2
33,6,C,"feature exists, but is extremely rare",3
34,6,D,attested absence of feature,4
35,6,X,feature is not applicable (given the structural make-up of the variety/P/C),5
36,6,?,no information on feature is available,6
37,7,A,feature is pervasive or obligatory,1
38,7,B,feature is neither pervasive nor extremely rare,2
39,7,C,"feature exists, but is extremely rare",3
40,7,D,attested absence of feature,4
41,7,X,feature is not applicable (given the structural make-up of the variety/P/C),5
42,7,?,no information on feature is available,6
43,8,A,feature is pervasive or obligatory,1
44,8,B,feature is neither pervasive nor extremely rare,2
45,8,C,"feature exists, but is extremely rare",3
46,8,D,attested absence of feature,4
47,8,X,feature is not applicable (given the structural make-up of the variety/P/C),5
48,8,?,no information on feature is available,6
49,9,A,feature is pervasive or obligatory,1
50,9,B,feature is neither pervasive nor extremely rare,2
51,9,C,"feature exists, but is extremely rare",3
52,9,D,attested absence of feature,4
53,9,X,feature is not applicable (given the structural make-up of the variety/P/C),5
54,9,?,no information on feature is available,6
55,10,A,feature is pervasive or obligatory,1
56,10,B,feature is neither pervasive nor extremely rare,2
57,10,C,"feature exists, but is extremely rare",3
58,10,D,attested absence of feature,4
59,10,X,feature is not applicable (given the structural make-up of the variety/P/C),5
60,10,?,no information on feature is available,6
61,11,A,feature is pervasive or obligatory,1
62,11,B,feature is neither pervasive nor extremely rare,2
63,11,C,"feature exists, but is extremely rare",3
64,11,D,attested absence of feature,4
65,11,X,feature is not applicable (given the structural make-up of the variety/P/C),5
66,11,?,no information on feature is available,6
