ID,Name,Description,Contributors
1,Orkney and Shetland English,"Orkney and Shetland, known as ""the Northern Isles"", are the most northerly units of land in the British Isles. The Shetland archipelago has a total area of 1,468 sq. km (compared with Orkneyʼs 976 sq. km). In spite of their peripheral location, Orkney and Shetland should not be seen as isolated communities, neither in the past nor today. Shetland now has a population of about 23,000 and Orkney about 20,000. Orkney and Shetland can be characterized as bidialectal speech communities with access to a choice of two discrete, definable forms of speech: one a form of standard, basically Standard Scottish English, and the other a form of traditional dialect. The traditional dialects must be described as varieties of Scots, yet with a substantial component of Scandinavian, manifested above all in the lexicon but also in the phonology and, to a lesser extent, in the grammar. These varieties are often referred to as Insular Scots. Orcadians and Shetlanders are generally aware of commanding two distinct varieties and they have names for these, e.g. English vs. Shetland or Orcadian.",Gunnel Melchers
2,Scottish English,"There is considerable debate about the position and appropriate terminology for the varieties which are spoken in Scotland. Scottish English can be described as a bipolar linguistic continuum, with Broad Scots, essentially a spoken variety, at one end and Scottish Standard English at the other. This continuum is the result of dialect contact and language change over many centuries. Four main dialect divisions of Scots can be distinguished whose names reflect their geographical distribution across Scotland: Mid or Central Scots, Southern or Border Scots, Northern Scots, and Insular Scots. Scots is generally, but not always, spoken by the working classes while Scottish Standard English is typical of educated middle class speakers. It is probably fair to say that a good proportion of the population of Scotland, now estimated at some 5,060,000, are potential speakers of Scottish Standard English. Defining the number of speakers of Scots in Scotland, however, is extremely difficult.",Jennifer Smith
3,Irish English,"The English language was introduced into Ireland with the coming of the Anglo-Normans from West Wales in the late 12th century. Since then the fate of English has been closely linked with that of the Irish language which it came largely to replace in the late modern period. The language shift in Ireland was relatively long, spanning at least three centuries from 1600 to 1900 for most of the country. In present-day Ireland there are only a few small remaining enclaves scattered along the western seaboard where Irish is still spoken as a native language. Linguistically, Ireland is divided into two broad sections, the north and the south. A dividing line can be drawn roughly between Sligo, just south of County Donegal, and Dundalk on the east coast immediately below the border with Northern Ireland.",Markku Filppula
4,Manx English,"Manx Vernacular English may be described as a variety originating as an ethno-regiolect peculiar to the Isle of Man. Today, Manx English is arguably an endangered variety typically spoken by older rural speakers of Manx descent. The variety is characterized by the frequent occurrence of characteristic phonological, lexical and grammatical features, the most elusive yet distinctive of which is intonation. Arguably the most striking of these features testify to the fact that Manx English is the product of a Gaelic language system and various varieties of English. The influx into the Island of non-Manx populations, exogamy, education and work off-Island, as well as the impact of the mass media, have in some ways reduced its use to the well-meaning tokenism of dialect recitations and competitions, particularly of the works of a handful of local vernacular writers such as T E Brown. All members of the local speech community are exposed to Standard English from an early age; some, including political figures, may practise code-switching for ideological reasons linked with nationalism and solidarity, or for humorous effect. Although Manx Vernacular English reflects the influence of Manx Gaelic, the current resurgence of the latter has not noticeably contributed to a comparable revival of Manx English.",Jennifer Kewley Draskau
5,Welsh English,"The longer-standing language of Wales is Welsh, belonging to the Celtic branch of the Indo-European family. The first major incursions of English came in the wake of the Norman invasion of Wales, which began towards the end of the eleventh century AD. Dialects of Welsh English influenced by the south-west of England existed from the twelfth century onwards. Under the Acts of Union of 1536-1543, English was made the sole language of government and law in Wales. Higher prestige and increasing incoming speaker numbers helped establish English as a language of the whole of Wales by the second half of the twentieth century. Regional dialects in particular have had the greatest influence overall on the special character of English in Wales. There are notable differences between the traditional Welsh dialects of north and south Wales. Thus it is possible to talk of two main types of Welsh English, one centred in the north-west, the other in the mid-south. In these main northern and southern sub-varieties, non-standard features tend to be derived from Welsh-language influence. But there are other determining factors, such as influence from the neighbouring non-standard dialects (rural and urban) of England, particularly but not exclusively in the border areas, south Pembrokeshire and Gower.",Robert Penhallurick
6,English dialects in the North of England,"The North of England is a region whose boundaries have been defined in a number of different ways by laypersons, members of the tourist industry and linguists. Dialectologists have attempted to define the North in purely linguistic terms. In this chapter ""the North of England"" is defined as coterminous with that of Anglo-Saxon Northumbria, i.e. stretching from Berwick-upon-Tweed and Carlisle in the North, to Sheffield in the South, and including Merseyside and all of pre-1972 Lancashire (thus also Warrington and Widnes, which are now in Cheshire), and all of Yorkshire and Humberside. As regards northern dialects a frequently uttered concern is that there is an increasing tendency to assimilate the form of the respective dialect with the current English of the schools. It is certainly the case that traditional dialects are being replaced by more modern, urban vernaculars, and that, within certain regions, the dialect of influential towns and cities is spreading. But even where there is clear evidence of levelling in the North, this seems to be in the direction of a regional, or pan-northern, rather than a national model, so that northern dialects can confidently be expected to remain distinctive for some time yet.",Graeme Trousdale
7,English dialects in the Southwest of England,"The Southwest or, to use a more traditional label, the West Country, has figured prominently in dialectological investigations for centuries. From a modern viewpoint, one can only guess at the reasons behind the considerable attention that has been attributed to West Country English, particularly in the 19th century. One of the major factors causing interest in the region certainly was its rural character and relative remoteness, which to a certain extent still survives to the present day. Traditionally, attributes such as ""rustic"" or ""primitive"" were associated with inhabitants of the West Country and their speech patterns. For the sake of simplicity, ""the West Country"" or ""the Southwest"" will be considered as a homogeneous linguistic area here. The core of this area is constituted by the counties of Cornwall, Devon, Dorset, Somerset, and Wiltshire, while its boundaries are formed by the parts of the adjoining counties of Gloucestershire, Oxfordshire, Worcestershire, and Herefordshire, which create a transition zone. Hampshire and Berkshire are not included; Berkshire is not often covered in studies of the Southwest, due to its ""transitional nature"", while Hampshire shows a high degree of mixture of features from the Southwest.",Susanne Wagner
8,East Anglian English,"As a modern topographical and cultural term, East Anglia refers to an area with no official status. Most people would agree that the English counties of Norfolk and Suffolk are prototypically East Anglian. Historically, the Anglo-Saxon kingdom of East Anglia at its greatest extent consisted of the habitable parts of Norfolk and Suffolk plus eastern Cambridgeshire. East Anglian English has probably always been a distinctive area. East Anglia has a serious claim to be the first place in the world where English was ever spoken. Subsequently, East Anglian English played an important role in the formation of Standard English, in the development of colonial Englishes, notably the American English of New England and also formed part of the input for the formation of the Englishes of Australia and New Zealand. More recently, however, East Anglia, particularly the northern area, has become much more isolated, and its English has retained a number of conservative features. Modern linguistic East Anglia consists of a core area (Norfolk and Suffolk, except for the Fenland areas of western Norfolk and northwestern Suffolk, plus northeastern Essex) together with surrounding transition zones (Norfolk and Suffolk Fens, together with eastern Cambridgeshire, central Essex, and a small area of NE Hertfordshire).",Peter Trudgill
9,English dialects in the Southeast of England,"The southeast of England is a relatively young dialect area in classificatory terms. A large area of what is now part of the Southeast - especially the counties directly south of London: Surrey, Sussex, but even Kent - used to belong to the Southwest linguistically. Former general Southern features seem to have receded to the Southwest proper quite rapidly at least since the end of the nineteenth century. Today, the Southeast of England is clearly dominated - and influenced - by the metropolis London. Based on Trudgill’s modern dialect areas, the Southeast includes, for the purpose of this chapter, the metropolis itself and the Home Counties, i.e. those counties neighbouring on London: Middlesex, Essex (where it doesn’t belong to East Anglia), Hertfordshire, Bedfordshire, Buckinghamshire (where they do not belong to the South Midlands), Berkshire, Hampshire (where they do not belong the Southwest), Surrey, Sussex and Kent.",Lieselotte Anderwald
10,Channel Islands English,"The Channel Islands (Jersey, Guernsey, Alderney and Sark) are regarded as a French-speaking area in traditional dialectology because the original language on the islands is a form of Norman French that has been spoken there for centuries. But over the last 200 years, English has gained more and more influence and is the dominant language on the islands today. It has gradually replaced the local Norman French dialects, which will most certainly not survive as a living language. Channel Island English is characterised by a unique blend of features originating from different sources. On the one hand, there are non-standard features of British English that have arrived in the Channel Islands as a result of the close connections with Britain and because of the many British immigrants. On the other hand, Channel Island English comprises features that have their origin in Channel Island French.",Anna Rosen
