ID,Name,Description,Category_ID,Example_Source,Attestation,Pervasiveness
1,She/her used for inanimate referents,She was burning good [about a house],1,Kortmann/Szmrecsanyi (2004),0.486842105263158,0.451351351351351
2,He/him used for inanimate referents,I bet thee cansnʼ climb he [= a tree],1,Southwest (Wagner 2008: 425),0.263157894736842,0.48
3,Alternative forms/phrases for referential (non-dummy) it,e.g. the thing: When you on [‘switch on’] the alarm system you press this button. When you off the thing [‘switch it off’] you press that one.,1,"FijiE (Jeff Siegel, p.c. and Mugler/Tent  2008:  551)",0.552631578947368,0.642857142857143
4,Alternative forms/phrases for dummy it,Thass rainen ‘Itʼs raining’ (emphatic),1,East Anglia (Trudgill 2008: 409),0.223684210526316,0.552941176470588
5,Generalized third person singular pronoun: subject pronouns,em for ‘he/she/it’,1,Tok Pisin (Smith 2008: 491),0.368421052631579,0.767857142857143
6,Generalized third person singular pronoun: object pronouns,om for ‘him/her/it’,1,"HawC (Jeff Siegel, p.c. and Sakoda and Siegel 2008: 541)",0.342105263157895,0.834615384615385
7,Me instead of I in coordinate subjects,Me and my brother/My brother and me were late,1,Kortmann/Szmrecsanyi (2004),0.894736842105263,0.832352941176471
8,Myself/meself instead of I in coordinate subjects,My/me husband and myself were late.,1,Kortmann/Szmrecsanyi (2004) (modified),0.684210526315789,0.575
9,Benefactive “personal dative” construction,I got me a new car; She got her a new car; They got them a new car,1,UAAVE (Wolfram 2008b:  526) (modified),0.434210526315789,0.624242424242424
10,No gender distinction in third person singular,"My mother, heʼs a primary school teacher; My husband who was in England, she was by then my fiancé",1,FijiE (Mugler/Tent 2008:  549); EAfE (Mesthrie/Bhatt 2008: 55),0.460526315789474,0.714285714285714
11,Regularized reflexives paradigm,"hisself, theirselves/theirself",1,Kortmann/Szmrecsanyi (2004),0.578947368421053,0.690909090909091
12,Object pronoun forms serving as base for first and/or second person reflexives,meself for ‘myself’,1,Kortmann/Szmrecsanyi (2004),0.434210526315789,0.718181818181818
13,Subject pronoun forms serving as base for reflexives,theyselves for ‘themselves’,1,Kortmann/Szmrecsanyi (2004),0.315789473684211,0.629166666666667
14,No number distinction in reflexives,ourself for ‘ourselves’,1,Kortmann/Szmrecsanyi (2004),0.684210526315789,0.673076923076923
15,Absolute use of reflexives,"And by God, he said, … he’d be the devil if himself wouldn’t make him laugh; Himself is gone to Dublin (meaning ‘boss’, ‘head’)",1,IrE (Filppula 2008:  349); (Hickey 2004: 601),0.184210526315789,0.542857142857143
16,Emphatic reflexives with own,Everybody took care of their own self.,1,AppE (Montgomery 2008: 448),0.513157894736842,0.48974358974359
17,Creation of possessive pronouns with prefix fi- +personal pronoun,Den no fi-me work me put yuh inna? [lit.: Then no for-me job I put you into] ‘Then wasnʼt it my job I got for you?’,1,"CarCs (Schneider 2008: 773); JamC, (Patrick 2008: 633)",0.131578947368421,0.7
18,Subject pronoun forms as (modifying) possessive pronouns: first person singular,I book for ‘my book’,1,"BelC (Jeff Siegel, p.c.)",0.157894736842105,0.758333333333333
19,Subject pronoun forms as (modifying) possessive pronouns: first person plural,"When we done make we farm, we n’t know nothing about sell…",1,LibSE (Singler 2008: 406),0.25,0.747368421052632
20,Subject pronoun forms as (modifying) possessive pronouns: third person singular,he book for ‘his book’,1,constructed,0.263157894736842,0.63
21,Subject pronoun forms as (modifying) possessive pronouns: third person plural,It’s they book,1,UAAVE (Wolfram 2008b: 525),0.394736842105263,0.683333333333333
22,You as (modifying) possessive pronoun,Yu kyaan kom iin-ya siev yu pie yu fier ‘You canʼt come in here unless you pay your fare’,1,JamC (Patrick 2008: 628),0.342105263157895,0.719230769230769
23,Second person pronoun forms other than you as (modifying) possessive pronoun,"Shut unu ai, na! ‘Shut your [2PL] eyes, wonʼt you?’",1,JamC (Patrick 2008: 621),0.328947368421053,0.836
24,Object pronoun forms as (modifying) possessive pronouns: third person singular,im dog ‘his dog’; get im gear on,1,"AbE (Malcolm 2008: 432); Yorkshire, (Upton et al. 1994: 488)",0.263157894736842,0.535
25,Object pronoun forms as (modifying) possessive pronouns: third person plural,them book for ‘their book’,1,constructed,0.236842105263158,0.577777777777778
26,Object pronoun forms as (modifying) possessive pronouns: first person singular,Heʼs me brother; Iʼve lost me bike,1,Kortmann/Szmrecsanyi (2004),0.394736842105263,0.676666666666667
27,Object pronoun forms as (modifying) possessive pronouns: first person plural,Us George was a nice one; We like us town;,1,Kortmann/Szmrecsanyi (2004),0.0921052631578947,0.542857142857143
28,Use of us + NP in subject function,Us kids used to pinch the sweets like hell.,1,Kortmann/Szmrecsanyi (2004),0.5,0.726315789473684
29,Use of us in object function with singular referent,Show us [‘me’] them boots.,1,Kortmann/Szmrecsanyi (2004),0.289473684210526,0.609090909090909
30,Non-coordinated subject pronoun forms in object function,"e.g. You did get he out of bed in the middle of the night; Well, if I didnʼt know they, they knowed I",1,"Kortmann/Szmrecsanyi (2004); Southwest (Wagner 2008: 421); HawC (Jeff Siegel, p.c.)",0.171052631578947,0.507692307692308
