ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source
1,66,And then he grows bigger.,,,,,referring to a coconut,
2,66,Well last month we saw a seal here. And then the thing just went out and just disappeared.,,,,,,
3,66,"That girl, it is living on Aitutaki now.",,,,,,
4,66,Can't you hit that girl? Why don't you hit it then?,,,,,,
5,66,We have to set ourself.,,,,,,
6,66,And then you got to sit on you backside...,,,,,,
7,66,You do you two job.,,,,,,
8,66,dem lot,,,,,,
9,66,"Check here on me birthday, cos I'll go and visit Mama.",,,,,,
10,66,Us is talking.,,,,,,
11,66,What yous playing?,,,,,,
12,66,You lot playing ping pong?,,,,,,
13,66,You all'll get one.,,,,,,
14,66,"That one for mummy, this one for yami.",,,,,yami = 1PL.INCL,
15,66,We two is going...,,,,,,
16,66,What time you lot going fishening?,,,,,,
17,66,"Well the trees broke down, some of it.",,,,,,
18,66,That's why you calls Ø a teacher.,,,,,"Referent = ""me""",
19,66,It's really fun when Ø hear them speaking.,,,,,,
20,66,Cos engine room was burnt and the controls – Ø is none controls at the bridge.,,,,,,
21,66,My grandfather and grandmother speaks it and that's how I pick it up and Ø is still in me.,,,,,,
22,66,Is a real yacht on a way.,,,,,,
23,66,And then the mens sung ABC,,,,,,
24,66,Pastor Tere and them there,,,,,,
25,66,most of the crews,,,,,crew members,
26,66,"When the tourist come, I tell them...",,,,,,
27,66,When he was counting his basket...,,,,,,
28,66,You're the big liar.,,,,,,
29,66,It's a wrong way.,,,,,,
30,66,The crocodile we have here is the half a crocodile.,,,,,,
31,66,"Alex, you want a cabbage?",,,,,referring to cut up and cooked cabbage stew,
32,66,We been go in a group and get to to one place with show items and things.,,,,,,
33,66,I wouldn't know how to call them grandparents,,,I wouldn't know what to call [the/my] grandparents (because they were dead before I was born)',,,
34,66,them two houses,,,,,,
35,66,Look yonder!,,,,,,
36,66,That thing there.,,,,,,
37,66,That trees over there.,,,,,,
38,66,And then you got to sit on you backside and then you now to do you paperwork.,,,,,,
39,66,It's more easier to have time for family these days.,,,,,,
40,66,"Some of them, they catch ten, and some get lesser than ten.",,,,,,
41,66,There was someone already been there before.,,,,,,
42,66,I been done that.,,,,,,
43,66,"Scale the fish, cleaned it up finish.",,,,,,
44,66,I been eat my lunch already.,,,,,,
45,66,The farmer said that that will be enough.,,,,,,
46,66,I helped Thomas so that one day she help Tuakanamoe.,,,,,,
47,66,"If I would say to them 'the shubble'"", they would get angry at me.",,,,,,
48,66,He took the anchor and dump it in the sea so that he can claim the land.,,,,,,
49,66,I drinked the water from the well when I was a gal.,,,,,,
50,66,They never give me a invitation.,,,,,,
51,66,Last night he done his own thing.,,,,,,
52,66,"He hit a big rock, drop down and was on the ground suffering.",,,,,,
53,66,A man passeded him with his goat.,,,,,,
54,66,I's a told him,,,,,,
55,66,the boy has falling down,,,,,,
56,66,He haven't got no door.,,,,,,
57,66,he ain't bought the islet,,,,,,
58,66,it don't work,,,,,,
59,66,I never give the taro.,,,,,,
60,66,there's three or four different kinds knocks,,,,,,
61,66,Was a cyclone that day.,,,,,,
62,66,You going to play with the childrens?,,,,,,
63,66,After Mama Shirley Ø you.,,,,,referring to turns in a game,
64,66,Too small Ø the table.,,,The table is too small.,,,
65,66,They Ø in the tree.,,,,,,
66,66,Twice we Ø been to Fiji.,,,,,,
67,66,I think you seen coconuts Ø is all mashed up on the inside.,,,,,,
68,66,...for I was went on.,,,,,for = because,
69,66,they got the torou and the kupa,,,,,listing types of fish found on an island,
70,66,"He hit a big rock, drop down.",,,,,,
71,66,I went to look my uncle Edward,,,,,,
72,66,"Instead of saying 'sure' slow, we say it kind of fast.",,,,,,
73,66,I'm not too sure.,,,,,,
74,66,"The opposite of sack, that's what he's going to do.",,,,,,
75,66,Too small the table.,,,,,,
76,66,"for, e.g.  For me, I use 'um'.",,,,,,
77,66,Can you remember how old was you?,,,,,,
78,66,Where you was?,,,,,,
79,66,You find any?,,,,,,
80,66,Give me that!,,,,,,
81,66,Can you pass it me?,,,,,,
82,66,You tell your own story.,,,,,,
83,66,Does that recorder record like shit talk?,,,,,,
84,44,I don tif.,,,She/he has stolen,,,
85,44,I col.,,,It is cold.,,,
86,44,Hau yu bin don no (y)i?,,,How did you get to know him/her?,,,
87,44,Mi an ma broda don kom.,,,Me and my brother arrived,,,
88,44,Misef and ma broda don kom.,,,,,,
89,44,I don tif.,,,She/he has stolen,,,
90,44,"Misef, yusef, isef, wisef, wunasef, demsef",,,,,,
91,44,misef,,,,,,
92,44,yusef,,,,,,
93,44,"wisef, wunasef",,,,,,
94,44,Evribody luk fo dem own sef.,,,Everybody looks after themselves,,,
95,44,wi haus,,,Our house,,,
96,44,Ol i pikin,,,All her children,,,
97,44,dem buk,,,Their book,,,
98,44,yu haus,,,Your house,,,
99,44,wuna haus,,,Your (pl.) house,,,
100,44,im haus,,,His/her house,,,
101,44,A go slip misef di hol de.,,,I will sleep the whole day.,,,
102,44,wuna,,,,,,
103,44,Na hu-hu dem bin de fo haus?,,,,,,
104,44,leta dem,,,Letters,,,
105,44,Eric dem go fo Yaoundé.,,,Eric and his family/his people went to Yaoundé.,,,
106,44,A don lus wan shus,,,I've lost one shoe,,,
107,44,fonitsa/fonitsa dem,,,furniture/furniture PL,,,
108,44,faif pikin,,,Five children,,,
109,44,dis ma haus,,,,,,
110,44,A get di col.,,,I have a cold.,,,
111,44,A go meri gel fo Bamenda.,,,I am going to marry a girl from Bamenda.,,,
112,44,Wan boi an wan gel di plei fo rod.,,,A boy and a girl are playing in the street,,,
113,44,Dat doa bin close.,,,The door closed,,,
114,44,Dem pikin-dem,,,,,,
115,44,dat man hia,,,,,,
116,44,Dis pikin dem,,,,,,
117,44,Mo moto de.,,,I have a car (lit.:  My car exists),,,
118,44,dat pikin fo mi,,,My child (lit.: That child is for me),,,
119,44,Na Mary haus.,,,It's Mary's house.,,,
120,44,Cat dem di miau,,,Cats meow,,,
121,44,I don rid dis buk.,,,S/he has read this book.,,,
122,44,A finis rid dis buk.,,,I have read this book,,,
123,44,I bin rait leta.,,,S/he wrote a letter,,,
124,44,I go rait mi leta.,,,S/he will write me a letter,,,
125,44,Dem di kom go smol taim.,,,They will leave in a short while,,,
126,44,I go fo Bamenda,,,S/he went to Bamenda,,,
127,44,A waka fo haus,,,I walked home,,,
128,44,Ma sista na ticha.,,,My sister is a teacher,,,
129,44,Ma sista de fo haus.,,,My sister is at home.,,,
130,44,I de smol.,,,S/he is small.,,,
131,44,A tek naif gif yu.,,,I gave you the knife,,,
132,44,Im kari naif go.,,,S/he took the knife away.,,,
133,44,I bin tek di naif komot,,,S/he took the knife away,,,
134,44,Hu tok se mek yu kom?,,,Who said that you shoud come?,,,
135,44,No man no laik mi no smol.,,,Nobody likes me even a little,,,
136,44,I neba tek-am.,,,S/he hasn't taken it yet.,,,
137,44,A no laik-am.,,,I don't like it.,,,
138,44,"Yu get moni, no bi so?",,,"You've got (the) money, haven't you?",,,
139,44,"Yu get moni, eh?",,,"You've got (the) money, haven't you?",,,
140,44,I no kom tudei? Yes.,,,,,,
141,44,A go fo haus; i go fo haus tu,,,I go home and so does s/he,,,
142,44,Na bik dis.,,,This is big.,,,
143,44,I gud ticha.,,,S/he is a good teacher.,,,
144,44,I col,,,It is cold.,,,
145,44,I fo haus.,,,S/he is at home.,,,
146,44,Peter bi bik man.,,,Peter is an important person.,,,
147,44,Man we i di pas fo rod.,,,The man who is crossing the road,,,
148,44,A bin gif medsin fo dat boi we i fut di hot,,,I gave medicine to that boy whose leg is hurting,,,
149,44,Na de haus we a paint-am yesadei dis.,,,This is the house which I painted yesterday.,,,
150,44,A tin se ren go fol tudei.,,,I think (that) it will rain today.,,,
151,44,A go kip-am fo bai chop.,,,I will keep it (in order) to buy food.,,,
152,44,A get fo res tudei.,,,I have to rest today.,,,
153,44,I get plenti pipul fo Yaounde.,,,There are many people in Yaounde.,,,
154,44,abi,,,,,,
155,44,I put ting leke solt mek di wund dem hil kwik-kwik,,,S/he put something like salt in order to make the wounds heal very quickly.,,,
156,44,I komot hospital,,,S/he came out the hospital.,,,
157,44,monin taim,,,In the morning,,,
158,44,nait taim,,,At night,,,
159,44,Bamenda way,,,In Bamenda,,,
160,44,kwik-wei,,,Quickly,,,
161,44,Dat wan real gud!,,,This one is really good!,,,
162,44,Kom kwik-kwik!,,,Come (very) quickly!,,,
163,44,I taja tu motch.,,,S/he is very tired.,,,
164,44,Fo ma sista a tok Inglis.,,,To my sister I speak English,,,
165,44,"Na ticha, i bin go fo Bamenda.",,,It was the teacher who went to Bamenda.,,,
166,44,Witch taim dem di go?,,,When are they going?,,,
167,44,Pikin di plei?,,,Is the child playing?,,,
168,44,Wuna go! Mek wuna go! Yu go!,,,Go!,,,
169,58,Give me five minute to pack the thing for you.,,,,,Referring to items to be packed in a shop.,
170,58,My girlfriend and me went for dinner last night.,,,,,,
171,58,There was myself and my friend at the party.,,,My friend and I were at the party,,,
172,58,"Siti Nurhalizah ah, when he sing Malay song so nice.",,,"Siti Nurhalizah, she sings Malay songs really well",,,
173,58,We did it ourself.,,,We did it by ourselves.,,,
174,58,I hit my own self on the door.,,,I hit myself on the door.,,,
175,58,I'll meet you all at the Cheras toll.,,,I'll meet all of you at the Cheras toll booth.,,,
176,58,Who all came for the wedding?,,,Who came for the wedding?,,,
177,58,Who who made noise about the food?,,,Who complained about the food?,,,
178,58,"You want all the things in your list, right? I take it for you now.",,,,,,
